COLLEGE BASKETBALL TRUE HOME COURT ADVANTAGE (since start of 2021-22 season),,,,,,,,,,,,,,
,,ALL GAMES,,,,,,,,,CONFERENCE GAMES,,,
,,SU,ATS,Avg,Avg,Exp,Avg,,Actual,True,SU,ATS,True,Conf
Team,Conference,W-L (%),W-L (%),TmPR,OppPR,PPG+/-,Line,PF-PA,PPG+/-,HFEdge,W-L (%),W-L (%),HFEdge,+/-
GONZAGA,West Coast,38-2 (95%),22-16 (58%),90.6,71.5,19.1,-22.8,90-67.2,22.8,3.7,17-1 (94%),12-4 (75%),5.9,2.2
LIBERTY,Conference USA,32-6 (84%),23-15 (61%),76.8,65.6,11.2,-13.5,74.9-60,14.9,3.7,20-4 (83%),12-12 (50%),3,-0.7
MARQUETTE,Big East,37-5 (88%),22-20 (52%),83.3,74.9,8.4,-11,80.9-68.8,12.1,3.7,21-3 (88%),15-9 (63%),4.8,1.1
FURMAN,Southern,28-5 (85%),21-12 (64%),75.9,68,7.9,-11.4,80.8-69.2,11.6,3.7,18-3 (86%),14-7 (67%),5.7,2
AKRON,Mid-American,29-4 (88%),18-15 (55%),73.8,67.6,6.2,-8.8,76.1-66.2,9.9,3.7,18-4 (82%),12-10 (55%),2.7,-1
SAINT LOUIS,Atlantic 10,33-10 (77%),24-18 (57%),77.5,72.8,4.7,-7.7,75.8-67.4,8.4,3.7,17-3 (85%),11-8 (58%),4.9,1.2
FORDHAM,Atlantic 10,32-13 (71%),26-19 (58%),70.2,67.6,2.6,-4.7,73.4-67.1,6.3,3.7,13-8 (62%),13-8 (62%),4.3,0.6
FLA GULF COAST,Atlantic Sun,24-10 (71%),17-16 (52%),68.7,67.4,1.3,-4.5,75.9-70.9,5,3.7,13-8 (62%),10-11 (48%),2.4,-1.3
TX-ARLINGTON,WAC,15-13 (54%),16-12 (57%),67.1,69.6,-2.5,-0.7,70.1-68.9,1.2,3.7,12-9 (57%),12-9 (57%),4.4,0.7
TENNESSEE TECH,Ohio Valley,15-16 (48%),17-12 (59%),62.5,65.9,-3.4,-0.1,76-75.7,0.3,3.7,12-9 (57%),13-7 (65%),4.6,0.9
MAINE,America East,10-15 (40%),13-12 (52%),60.3,65.5,-5.2,2.2,67.2-68.7,-1.5,3.7,7-11 (39%),8-10 (44%),2.9,-0.8
SETON HALL,Big East,30-11 (73%),18-22 (45%),81.2,75.9,5.3,-8,74.5-65.6,8.9,3.6,14-9 (61%),7-16 (30%),1.8,-1.8
STANFORD,Pac 12,27-14 (66%),19-22 (46%),77.7,74.7,3,-6.2,75.2-68.6,6.6,3.6,13-12 (52%),12-13 (48%),4.3,0.7
HIGH POINT,Big South,24-10 (71%),21-13 (62%),67.1,66.1,1,-2.8,75.2-70.6,4.6,3.6,13-7 (65%),12-8 (60%),2.5,-1.1
CAL SAN DIEGO,Big West,15-15 (50%),18-12 (60%),66.1,69.0,-2.9,-0.1,71.9-71.2,0.7,3.6,9-12 (43%),11-10 (52%),2.4,-1.2
USC UPSTATE,Big South,14-12 (54%),16-10 (62%),62.5,66.7,-4.2,2.2,71.2-71.8,-0.6,3.6,12-7 (63%),14-5 (74%),4.7,1.1
DARTMOUTH,Ivy League,11-13 (46%),12-10 (55%),64.9,69.5,-4.6,2.4,67.5-68.5,-1.0,3.6,8-7 (53%),9-5 (64%),5.6,2
NEBRASKA-OMAHA,Summit,12-18 (40%),17-13 (57%),60.6,66.4,-5.8,3.5,76.7-78.9,-2.2,3.6,9-13 (41%),13-9 (59%),3.5,-0.1
TEXAS,Big 12,42-6 (88%),21-27 (44%),86.7,73.8,12.9,-16.4,76.7-60.3,16.4,3.5,15-6 (71%),9-12 (43%),3.1,-0.4
SAN FRANCISCO,West Coast,32-10 (76%),19-23 (45%),79.5,70.5,9.0,-11.6,79.6-67.1,12.5,3.5,10-9 (53%),7-12 (37%),1.3,-2.2
ARKANSAS,SEC,39-7 (85%),24-21 (53%),84.0,75.5,8.5,-12.2,78.7-66.7,12.0,3.5,15-6 (71%),11-10 (52%),4.2,0.7
UTAH ST,Mountain West,28-9 (76%),22-15 (59%),80.2,73.1,7.1,-10.2,78.1-67.5,10.6,3.5,16-5 (76%),13-8 (62%),4.5,1
MOREHEAD ST,Ohio Valley,24-4 (86%),17-9 (65%),69.4,64.6,4.8,-6.6,72.8-64.5,8.3,3.5,18-3 (86%),12-7 (63%),4.0,0.5
MOUNT ST MARYS,Metro Atlantic,16-16 (50%),13-19 (41%),65.0,64.5,0.5,-3.3,67.1-63.1,4.0,3.5,11-11 (50%),10-12 (45%),5.1,1.6
ILLINOIS ST,Missouri Valley,22-17 (56%),21-17 (55%),68.1,68.8,-0.7,-2.2,71.7-68.9,2.8,3.5,11-12 (48%),12-10 (55%),4.3,0.8
WI-MILWAUKEE,Horizon,21-14 (60%),17-18 (49%),65.1,66.6,-1.5,-1.1,75.5-73.5,2.0,3.5,17-8 (68%),13-12 (52%),3.5,0
FLORIDA,SEC,30-12 (71%),21-21 (50%),82.6,74.8,7.8,-11.4,76.9-65.7,11.2,3.4,12-8 (60%),9-11 (45%),2.9,-0.5
RICHMOND,Atlantic 10,32-8 (80%),19-20 (49%),76.3,70.3,6.0,-8.6,72.7-63.3,9.4,3.4,13-7 (65%),6-13 (32%),0.6,-2.8
SYRACUSE,ACC,31-12 (72%),22-19 (54%),78.5,74.3,4.2,-7.0,79.6-72,7.6,3.4,14-9 (61%),12-9 (57%),3.0,-0.4
CAL BAPTIST,WAC,28-13 (68%),17-22 (44%),69.7,66.3,3.4,-7.2,73.3-66.5,6.8,3.4,12-9 (57%),9-12 (43%),4.4,1
LA-LAFAYETTE,Sun Belt,19-7 (73%),14-11 (56%),72.4,69.0,3.4,-6.0,76.7-69.9,6.8,3.4,13-6 (68%),8-10 (44%),3.0,-0.4
